"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFC","EQ","20-Mar-2017","       1451.20","       1449.80","       1464.95","       1446.95","       1456.60","       1457.75","       1458.77","    1745773","          2546679640.75","      50745","    1348156","         77.22"
"HDFC","EQ","21-Mar-2017","       1457.75","       1452.15","       1473.45","       1449.35","       1461.10","       1458.40","       1458.80","    2087458","          3045188004.50","      66015","    1553169","         74.40"
"HDFC","EQ","22-Mar-2017","       1458.40","       1449.90","       1454.75","       1434.05","       1442.00","       1442.30","       1441.53","    1866922","          2691228197.20","      97159","    1487877","         79.70"
"HDFC","EQ","23-Mar-2017","       1442.30","       1444.60","       1460.90","       1439.85","       1459.00","       1456.65","       1447.81","    2342002","          3390766239.00","      56615","    1944628","         83.03"
"HDFC","EQ","24-Mar-2017","       1456.65","       1458.00","       1467.25","       1450.00","       1461.50","       1462.60","       1463.06","    1701119","          2488845478.15","      71234","    1380223","         81.14"
"HDFC","EQ","27-Mar-2017","       1462.60","       1455.00","       1478.50","       1455.00","       1477.00","       1474.70","       1468.76","    2418666","          3552433312.65","      80711","    2018971","         83.47"
"HDFC","EQ","28-Mar-2017","       1474.70","       1477.70","       1508.00","       1477.10","       1506.60","       1504.10","       1498.18","    2272786","          3405048242.05","      61508","    1684300","         74.11"
"HDFC","EQ","29-Mar-2017","       1504.10","       1510.10","       1531.00","       1498.50","       1524.45","       1522.05","       1513.15","    3595260","          5440153821.50","      89516","    2911900","         80.99"
"HDFC","EQ","30-Mar-2017","       1522.05","       1520.00","       1528.40","       1510.55","       1518.00","       1519.95","       1519.97","    8057156","         12246645972.20","     123936","    6937745","         86.11"
"HDFC","EQ","31-Mar-2017","       1519.95","       1520.20","       1520.20","       1496.55","       1499.85","       1502.10","       1503.99","    2816509","          4235996323.10","     105916","    2120923","         75.30"
"HDFC","EQ","03-Apr-2017","       1502.10","       1509.65","       1537.20","       1502.05","       1537.00","       1533.65","       1525.88","    2302442","          3513252105.25","      72784","    1652997","         71.79"
"HDFC","EQ","05-Apr-2017","       1533.65","       1525.10","       1530.00","       1486.75","       1492.00","       1490.15","       1497.51","    4839266","          7246865115.55","     169752","    3825395","         79.05"
"HDFC","EQ","06-Apr-2017","       1490.15","       1490.00","       1490.00","       1468.10","       1481.55","       1482.60","       1479.34","    3533800","          5227688067.25","      86428","    2659916","         75.27"
"HDFC","EQ","07-Apr-2017","       1482.60","       1474.90","       1494.00","       1466.25","       1481.70","       1484.75","       1481.73","    2366116","          3505950122.95","      48238","    1782523","         75.34"
"HDFC","EQ","10-Apr-2017","       1484.75","       1484.00","       1484.00","       1465.05","       1465.85","       1467.50","       1469.85","    2200153","          3233886302.55","      77780","    1880021","         85.45"
"HDFC","EQ","11-Apr-2017","       1467.50","       1465.10","       1486.95","       1461.20","       1479.00","       1476.85","       1477.74","    2166320","          3201254320.95","      73737","    1578551","         72.87"
"HDFC","EQ","12-Apr-2017","       1476.85","       1475.00","       1476.45","       1460.00","       1468.95","       1466.65","       1465.40","    2663565","          3903193576.35","     105512","    2222812","         83.45"
"HDFC","EQ","13-Apr-2017","       1466.65","       1470.00","       1484.70","       1461.15","       1475.20","       1474.90","       1475.74","    1773012","          2616500094.20","      51949","    1295461","         73.07"
"HDFC","EQ","17-Apr-2017","       1474.90","       1475.00","       1494.45","       1474.80","       1480.00","       1479.55","       1484.67","    1213004","          1800916462.00","      39093","     783162","         64.56"
"HDFC","EQ","18-Apr-2017","       1479.55","       1482.00","       1491.00","       1474.00","       1480.00","       1480.05","       1480.96","    1784505","          2642782449.80","      56985","    1247632","         69.91"
"HDFC","EQ","19-Apr-2017","       1480.05","       1491.55","       1492.30","       1470.20","       1490.20","       1490.20","       1486.38","    1546962","          2299375479.30","      82753","    1145156","         74.03"
"HDFC","EQ","20-Apr-2017","       1490.20","       1490.00","       1531.75","       1487.10","       1511.75","       1517.10","       1517.89","    2905255","          4409861001.05","      83577","    2162309","         74.43"
"HDFC","EQ","21-Apr-2017","       1517.10","       1519.90","       1526.75","       1490.95","       1503.15","       1507.45","       1506.66","    1520049","          2290196892.85","      67122","    1076843","         70.84"
"HDFC","EQ","24-Apr-2017","       1507.45","       1509.80","       1538.55","       1507.45","       1525.00","       1530.70","       1530.48","    1550370","          2372816868.10","     127662","    1157467","         74.66"
"HDFC","EQ","25-Apr-2017","       1530.70","       1535.00","       1557.60","       1531.00","       1541.00","       1548.40","       1546.43","    2420240","          3742743308.10","      75640","    1954097","         80.74"
"HDFC","EQ","26-Apr-2017","       1548.40","       1551.20","       1590.00","       1551.20","       1576.15","       1586.00","       1576.49","    3596629","          5670054792.90","     143646","    2691832","         74.84"
"HDFC","EQ","27-Apr-2017","       1586.00","       1582.00","       1589.95","       1559.05","       1561.05","       1566.50","       1575.94","    4533632","          7144748904.35","     181532","    3603398","         79.48"
