Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2017-07-31,13.38,13.54,13.15,13.15,13.175,-0.2,17691.0,0.0,59481.0
2017-08-01,13.2,13.25,13.05,13.09,13.075,-0.1,20802.0,0.0,61235.0
2017-08-02,13.07,13.35,12.96,13.29,13.275,0.2,22622.0,0.0,61257.0
2017-08-03,13.3,13.54,13.25,13.45,13.475,0.2,20138.0,0.0,64818.0
2017-08-04,13.48,13.6,13.32,13.53,13.525,0.05,19118.0,0.0,64240.0
2017-08-07,13.55,13.6,13.3,13.35,13.375,-0.15,13759.0,0.0,64101.0
2017-08-08,13.36,13.85,13.15,13.68,13.675,0.3,57937.0,0.0,67380.0
2017-08-09,13.69,14.1,13.55,13.8,13.775,0.1,65906.0,0.0,71635.0
2017-08-10,13.81,15.26,13.8,15.2,15.225,1.45,75296.0,0.0,73296.0
2017-08-11,15.22,15.7,14.6,15.55,15.525,0.3,74494.0,0.0,69660.0
2017-08-14,15.4,15.45,13.8,13.8,13.825,-1.7,54513.0,0.0,67099.0
2017-08-15,13.8,14.05,13.5,14.0,13.975,0.15,47982.0,0.0,74296.0
2017-08-16,14.4,14.46,14.1,14.2,14.225,-0.2,38533.0,0.0,47279.0
2017-08-17,14.25,15.53,14.18,15.25,15.225,1.0,52428.0,0.0,47693.0
2017-08-18,15.2,15.48,14.73,15.35,15.375,0.15,40621.0,0.0,48908.0
2017-08-21,15.3,15.4,14.95,14.95,14.975,-0.4,20222.0,0.0,49304.0
2017-08-22,14.96,14.99,14.2,14.25,14.225,-0.75,26530.0,0.0,47796.0
2017-08-23,14.21,14.73,14.15,14.65,14.625,0.4,28454.0,0.0,49301.0
2017-08-24,14.65,14.89,14.25,14.54,14.525,-0.1,32691.0,0.0,50803.0
2017-08-25,14.6,14.7,14.35,14.45,14.425,-0.1,21778.0,0.0,53980.0
2017-08-28,14.4,14.7,14.28,14.35,14.325,-0.1,20401.0,0.0,53879.0
2017-08-29,14.33,15.3,14.29,14.43,14.425,0.1,34104.0,0.0,54113.0
2017-08-30,14.45,14.55,14.3,14.5,14.475,0.05,12811.0,0.0,53345.0
2017-08-31,14.5,14.53,14.2,14.2,14.175,-0.3,18829.0,0.0,54773.0
2017-09-01,14.2,14.31,14.1,14.25,14.25,0.08,21801.0,0.0,54850.0
2017-09-05,14.55,15.12,14.4,14.47,14.475,0.22,35929.0,0.0,53470.0
2017-09-06,14.5,14.8,14.4,14.72,14.725,0.25,35026.0,0.0,54303.0
2017-09-07,14.7,14.9,14.57,14.68,14.675,-0.05,20838.0,0.0,54960.0
2017-09-08,14.68,15.0,14.65,14.9,14.875,0.2,20363.0,0.0,56042.0
2017-09-11,14.75,14.8,14.35,14.4,14.375,-0.5,20039.0,0.0,57097.0
2017-09-12,14.37,14.43,14.08,14.13,14.125,-0.25,24475.0,0.0,60172.0
2017-09-13,14.09,14.15,13.7,13.74,13.725,-0.4,33218.0,0.0,65235.0
2017-09-14,13.72,13.95,13.55,13.75,13.775,0.05,36272.0,100.0,71327.0
2017-09-15,13.8,14.05,13.6,13.65,13.65,-0.12,23060.0,0.0,73558.0
2017-09-18,13.65,13.65,13.14,13.25,13.225,-0.42,48151.0,250.0,80314.0
