Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2017-07-31,2474.0,2475.2,2465.5,2469.7,2.3,2468.0,4579.0,55995.0
2017-08-01,2468.0,2477.0,2466.7,2472.8,4.3,2472.3,2116.0,55853.0
2017-08-02,2474.1,2475.6,2463.5,2473.5,1.2,2473.5,1186.0,56500.0
2017-08-03,2472.3,2474.4,2467.0,2471.5,1.8,2471.7,1546.0,54775.0
2017-08-04,2470.7,2477.5,2468.1,2472.7,0.4,2472.1,2531.0,55224.0
2017-08-07,2476.1,2478.0,2473.1,2477.3,5.3,2477.4,1389.0,55459.0
2017-08-08,2476.1,2488.0,2467.3,2473.0,4.6,2472.8,1278.0,58952.0
2017-08-09,2468.6,2474.1,2459.3,2473.3,0.2,2473.0,1633.0,58771.0
2017-08-10,2473.7,2473.8,2433.1,2437.7,35.4,2437.6,6346.0,59110.0
2017-08-11,2436.1,2446.2,2430.6,2440.3,2.5,2440.1,1241.0,59403.0
2017-08-14,2447.0,2466.3,2446.9,2463.6,23.4,2463.5,4260.0,60446.0
2017-08-15,2463.1,2472.9,2460.3,2463.5,0.2,2463.7,1488.0,62277.0
2017-08-16,2464.8,2473.7,2462.0,2467.5,3.8,2467.5,591.0,61608.0
2017-08-17,2465.6,2468.1,2424.1,2429.9,38.0,2429.5,5419.0,61616.0
2017-08-18,2425.9,2439.0,2420.0,2426.7,2.7,2426.8,5974.0,63440.0
2017-08-21,2431.2,2431.2,2416.5,2428.0,1.2,2428.0,941.0,65720.0
2017-08-22,2429.4,2454.0,2427.8,2453.3,24.8,2452.8,1752.0,65695.0
2017-08-23,2453.1,2454.4,2439.0,2441.5,11.3,2441.5,1289.0,67113.0
2017-08-24,2439.3,2448.8,2435.0,2441.0,0.7,2440.8,1494.0,67307.0
2017-08-25,2442.1,2453.2,2437.6,2443.0,1.7,2442.5,4024.0,67703.0
2017-08-28,2442.8,2449.0,2436.4,2443.5,1.2,2443.7,1005.0,71050.0
2017-08-29,2429.3,2448.5,2421.3,2447.0,3.4,2447.1,1661.0,71201.0
2017-08-30,2446.5,2459.7,2443.0,2456.2,8.7,2455.8,2916.0,70873.0
2017-08-31,2458.0,2474.0,2455.3,2469.3,14.3,2470.1,12374.0,70000.0
2017-09-01,2472.0,2479.5,2470.7,2475.0,4.1,2474.2,2113.0,72006.0
2017-09-05,2463.0,2471.0,2446.0,2460.5,14.5,2459.7,3937.0,69104.0
2017-09-06,2459.3,2468.7,2456.8,2465.6,5.8,2465.5,4928.0,69320.0
2017-09-07,2461.0,2469.0,2458.0,2466.5,0.9,2466.4,8070.0,67700.0
2017-09-08,2461.0,2466.3,2458.8,2463.2,3.8,2462.6,13856.0,66137.0
2017-09-11,2477.0,2488.2,2476.0,2487.0,24.9,2487.5,13334.0,60520.0
2017-09-12,2491.0,2496.0,2489.8,2496.0,8.4,2495.9,12647.0,50120.0
2017-09-13,2492.5,2496.7,2491.0,2496.5,0.7,2496.6,9990.0,41797.0
2017-09-14,2492.5,2497.5,2491.5,2496.5,0.2,2496.4,7443.0,42288.0
2017-09-15,,,,,,2496.83,0.0,42466.0
2017-09-18,2498.2,2505.8,2497.7,2502.7,5.5,2502.7,2294.0,39765.0
2017-09-19,2502.3,2506.0,2501.0,2505.0,2.0,2504.7,4065.0,41536.0
2017-09-20,2502.3,2507.0,2494.8,2505.5,0.5,2505.2,1537.0,43627.0
2017-09-21,2505.0,2505.9,2496.8,2500.8,4.3,2500.9,2535.0,43806.0
2017-09-22,2500.4,2500.7,2492.3,2499.5,1.5,2499.4,1366.0,45108.0
2017-09-25,2502.9,2504.1,2485.5,2497.0,2.4,2497.0,2132.0,44704.0
2017-09-26,2496.1,2501.0,2492.5,2495.5,1.4,2495.6,1176.0,45398.0
2017-09-27,2495.1,2509.2,2493.3,2504.5,8.9,2504.5,4000.0,45679.0
2017-09-28,2502.8,2508.2,2499.3,2507.7,3.2,2507.7,2733.0,45241.0
2017-09-29,2507.0,2517.7,2505.0,2517.0,8.4,2516.1,5173.0,45749.0
2017-10-02,2520.6,2527.7,2517.8,2526.5,10.2,2526.3,2283.0,47294.0
2017-10-03,2526.5,2533.3,2525.5,2533.0,6.5,2532.8,4547.0,46572.0
2017-10-04,2531.5,2537.9,2529.0,2536.3,3.4,2536.2,1913.0,47548.0
